ProductID,ProductName,Category,SKU,CostPrice,SalePrice,StockQty,ReorderLevel,VendorID,Brand,Weight_kg,Unit,DateAdded,IsActive
PROD0066,White Board,Electronics,SKU-21830,435.99,535.83,28,19,VEND0078,EliteDesk,0.4,Set,2022-01-02,Yes
PROD0067,KVM Switch,Storage,SKU-33260,165.16,199.63,470,25,VEND0008,TechPro,2.3,Box,2022-08-16,Yes
PROD0068,"Monitor 24""",Furniture,SKU-86810,302.0,475.31,51,26,VEND0039,CorePlus,2.13,Box,2024-06-13,No
PROD0069,Power Strip,Storage,SKU-90440,143.49,227.57,402,27,VEND0029,SwiftGear,5.74,Pack,2022-09-18,Yes
PROD0070,Laptop,Furniture,SKU-84381,759.29,1197.34,16,16,VEND0078,CorePlus,13.82,Pair,2023-03-29,Yes
PROD0071,White Board,Peripherals,SKU-55457,116.81,173.51,163,15,VEND0082,OfficeMax,12.34,Pack,2024-07-03,Yes
PROD0072,SSD 512GB,Office Supplies,SKU-43640,171.7,251.01,402,11,VEND0093,TechPro,0.82,Set,2024-05-09,Yes
PROD0073,Screen Protector,Networking,SKU-59197,397.0,524.21,51,35,VEND0074,EliteDesk,2.52,Each,2022-03-10,Yes
PROD0074,Wireless Mouse,Electronics,SKU-54801,258.38,407.79,87,29,VEND0021,OfficeMax,8.25,Each,2023-11-24,No
PROD0075,Wireless Mouse,Networking,SKU-66911,347.9,502.41,80,8,VEND0013,CorePlus,3.16,Box,2024-04-18,Yes
PROD0076,CPU Cooler,Furniture,SKU-84943,241.43,288.07,281,36,VEND0020,TechPro,5.48,Set,2022-06-29,Yes
PROD0077,Patch Cable,Peripherals,SKU-32391,386.86,461.77,326,23,VEND0011,BrightWork,12.67,Pack,2024-03-25,No
PROD0078,White Board,Storage,SKU-81319,716.43,909.33,198,16,VEND0048,ZenTech,5.6,Set,2022-04-02,Yes
PROD0079,Cable Organizer,Office Supplies,SKU-83956,374.72,469.08,31,14,VEND0097,OfficeMax,1.38,Pack,2024-04-27,Yes
PROD0080,Scanner Flatbed,Networking,SKU-64870,53.48,70.82,494,39,VEND0088,BrightWork,8.63,Box,2024-09-02,Yes
PROD0081,Webcam HD,Electronics,SKU-75811,318.87,489.23,292,38,VEND0074,SwiftGear,1.89,Set,2022-12-21,Yes
PROD0082,Pen Set,Furniture,SKU-20271,647.73,781.67,349,32,VEND0026,SwiftGear,12.53,Pack,2023-10-17,Yes
PROD0083,Webcam HD,Office Supplies,SKU-46202,313.54,416.64,266,34,VEND0002,ZenTech,1.78,Box,2022-10-31,Yes
PROD0084,Headset Pro,Office Supplies,SKU-80206,452.33,540.74,450,27,VEND0053,NovaBrand,5.81,Set,2024-08-26,Yes
PROD0085,Stapler,Networking,SKU-99235,223.95,272.04,355,30,VEND0005,ZenTech,13.35,Pack,2023-05-02,Yes
PROD0086,Desk Fan,Electronics,SKU-54284,737.06,1145.14,418,24,VEND0040,NovaBrand,12.66,Each,2023-04-12,Yes
PROD0087,HDMI Cable,Accessories,SKU-52056,779.5,1051.86,137,31,VEND0078,OfficeMax,2.9,Box,2024-04-13,No
PROD0088,File Cabinet,Networking,SKU-30836,694.42,1055.14,33,24,VEND0091,ZenTech,2.12,Pair,2022-03-01,Yes
PROD0089,Notebook,Electronics,SKU-42701,700.77,869.18,16,34,VEND0007,CorePlus,10.6,Pack,2024-01-25,No
PROD0090,Marker Set,Storage,SKU-14005,320.57,501.81,123,28,VEND0063,BrightWork,2.75,Set,2023-12-18,Yes
PROD0091,A4 Paper Ream,Accessories,SKU-21847,670.93,849.66,145,6,VEND0050,TechPro,2.53,Pair,2023-03-15,Yes
PROD0092,Desk Lamp,Furniture,SKU-77276,543.77,691.18,10,48,VEND0002,BrightWork,13.68,Box,2022-01-18,Yes
PROD0093,SSD 512GB,Storage,SKU-94245,488.63,769.28,140,32,VEND0049,CorePlus,6.94,Box,2024-08-13,Yes
PROD0094,File Cabinet,Electronics,SKU-10963,660.33,877.39,261,47,VEND0048,NovaBrand,4.55,Each,2024-09-13,Yes
PROD0095,Router WiFi,Accessories,SKU-46291,790.75,1137.31,133,46,VEND0092,NovaBrand,2.91,Pair,2023-05-08,Yes
PROD0096,Patch Cable,Peripherals,SKU-13336,326.26,422.12,335,36,VEND0038,NovaBrand,13.61,Set,2024-03-06,Yes
PROD0097,Network Switch,Peripherals,SKU-54979,567.91,799.29,371,50,VEND0029,BrightWork,13.61,Pack,2024-11-04,Yes
PROD0098,A4 Paper Ream,Peripherals,SKU-48506,673.31,1039.88,49,35,VEND0017,NovaBrand,10.91,Pair,2023-01-10,Yes
PROD0099,Webcam HD,Accessories,SKU-50250,181.69,227.2,215,26,VEND0048,NovaBrand,8.83,Set,2022-08-30,No
PROD0100,USB-C Hub,Networking,SKU-19334,693.78,980.04,241,17,VEND0065,OfficeMax,13.03,Set,2024-12-21,Yes
